tomo_id,tp,fp,fn,precision,recall,f1,f2,num_pred,num_gt,pred_coords_vox,gt_coords_vox
tomo_02862f,1,31,0,0.031249999990234374,0.9999999900000002,0.06060605998163453,0.13888888746141975,32,1,"[[71, 92, 80], [53, 50, 17], [52, 89, 82], [37, 46, 14], [20, 55, 21], [34, 41, 22], [95, 92, 78], [68, 42, 21], [55, 39, 26], [91, 91, 72], [73, 89, 69], [123, 90, 77], [73, 72, 83], [12, 42, 45], [21, 40, 35], [125, 85, 70], [0, 43, 27], [26, 75, 63], [125, 78, 81], [59, 73, 59], [15, 41, 41], [39, 73, 60], [125, 83, 82], [73, 39, 42], [0, 44, 48], [0, 84, 74], [52, 59, 33], [50, 39, 45], [54, 74, 83], [29, 50, 66], [127, 65, 79], [0, 78, 68]]","[[15, 47, 17]]"
tomo_03437b,1,31,0,0.031249999990234374,0.9999999900000002,0.06060605998163453,0.13888888746141975,32,1,"[[69, 57, 28], [19, 112, 84], [46, 63, 27], [73, 112, 86], [27, 110, 90], [44, 113, 84], [56, 110, 78], [28, 62, 30], [3, 107, 91], [77, 108, 79], [54, 106, 92], [45, 69, 36], [26, 56, 59], [21, 69, 79], [54, 54, 59], [44, 52, 46], [0, 85, 89], [0, 71, 79], [26, 53, 45], [28, 54, 49], [2, 88, 90], [0, 54, 46], [0, 69, 41], [44, 97, 70], [56, 89, 92], [56, 67, 79], [0, 66, 71], [0, 64, 67], [127, 64, 34], [0, 62, 64], [68, 71, 81], [0, 56, 55]]","[[52, 115, 86]]"
tomo_04d42b,0,0,0,1.0,1.0,1.0,1.0,0,0,[],[]
tomo_05b39c,0,0,0,1.0,1.0,1.0,1.0,0,0,[],[]
tomo_072a16,0,10,0,0.0,1.0,0.0,0.0,10,0,"[[82, 69, 89], [125, 55, 91], [80, 45, 85], [125, 69, 86], [127, 50, 89], [80, 57, 91], [25, 53, 88], [29, 66, 86], [34, 58, 89], [31, 61, 88]]",[]
tomo_081a2d,1,44,0,0.02222222221728395,0.9999999900000002,0.04347826042533081,0.10204081528529779,45,1,"[[60, 43, 89], [65, 39, 48], [79, 45, 89], [72, 38, 59], [20, 38, 57], [54, 36, 60], [63, 96, 45], [44, 43, 85], [66, 94, 65], [106, 46, 88], [97, 42, 83], [63, 91, 39], [60, 85, 33], [23, 44, 80], [33, 97, 51], [24, 54, 36], [41, 60, 86], [76, 60, 88], [49, 69, 30], [30, 72, 80], [44, 81, 32], [40, 70, 81], [125, 54, 87], [30, 91, 66], [67, 73, 83], [125, 51, 87], [0, 45, 58], [0, 89, 42], [0, 93, 46], [76, 70, 30], [41, 65, 84], [0, 43, 46], [125, 83, 36], [0, 56, 37], [16, 87, 37], [127, 92, 44], [32, 83, 33], [127, 93, 48], [0, 54, 84], [33, 75, 30], [127, 91, 67], [74, 52, 37], [76, 89, 72], [127, 76, 79], [19, 54, 72]]","[[66, 42, 90]]"
tomo_0eb994,0,0,1,0.0,0.0,0.0,0.0,0,1,[],"[[75, 111, 87]]"
tomo_12f896,1,11,0,0.08333333326388888,0.9999999900000002,0.1538461521893491,0.3124999966796875,12,1,"[[82, 52, 44], [87, 50, 32], [125, 50, 42], [83, 52, 25], [62, 51, 46], [125, 50, 34], [25, 52, 43], [0, 52, 43], [125, 60, 55], [101, 50, 27], [0, 50, 33], [127, 69, 62]]","[[9, 54, 29]]"
tomo_136c8d,0,0,0,1.0,1.0,1.0,1.0,0,0,[],[]
tomo_138018,1,43,0,0.022727272722107436,0.9999999900000002,0.044444443990123456,0.10416666560329861,44,1,"[[31, 36, 62], [77, 32, 63], [71, 40, 40], [51, 34, 62], [49, 40, 42], [36, 43, 42], [85, 41, 45], [15, 46, 46], [72, 79, 44], [66, 34, 75], [73, 88, 63], [48, 87, 60], [3, 74, 81], [3, 48, 45], [16, 56, 84], [63, 72, 38], [58, 76, 41], [27, 77, 42], [79, 73, 83], [0, 52, 39], [80, 78, 80], [73, 57, 33], [31, 82, 47], [0, 86, 67], [35, 74, 83], [25, 66, 85], [62, 61, 34], [70, 84, 72], [125, 55, 36], [22, 86, 64], [125, 61, 38], [125, 58, 37], [66, 82, 75], [0, 72, 40], [60, 80, 78], [73, 43, 82], [0, 87, 58], [0, 81, 47], [38, 86, 68], [48, 54, 33], [51, 42, 82], [104, 36, 77], [127, 71, 43], [98, 42, 81]]","[[58, 31, 63]]"
